seed,t1,t2,epochs,steps_per_epoch,total_updates,warmup_steps,val_ratio_avg_last_k,val_ratio_best,val_ratio_last,train_loss_last,train_alignment_last,train_uniformity_last,train_ssim_last,wall_time_sec,final_ckpt_path
42,color,identity,40,18,720,170,0.06188320179907655,0.05654279446467313,0.06053526615715361,0.33892277048693764,0.30244410037994385,-3.585653305053711,nan,977.162668466568,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_color+identity_final.pth
42,color,rotate,40,18,720,170,0.08448236733038833,0.07863411737305387,0.07964153482830202,0.4751894921064377,0.3562658727169037,-3.5908985137939453,nan,997.1409254074097,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_color+rotate_final.pth
42,color,vflip,40,18,720,170,0.07984220090672552,0.07151216913593733,0.07719926551304684,0.4622789141204622,0.3190319836139679,-3.5761213302612305,nan,981.705709695816,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_color+vflip_final.pth
42,gray,gray,40,18,720,170,0.009670272479966565,0.006098077694563079,0.008112007023693392,0.05315048796021276,0.1728953719139099,-3.7375640869140625,nan,704.2271709442139,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_gray+gray_final.pth
42,gray,hflip,40,18,720,170,0.011064627947930783,0.00896344107539148,0.009397485746242905,0.07084666420188215,0.20607037842273712,-3.7512149810791016,nan,695.0545065402985,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_gray+hflip_final.pth
42,gray,identity,40,18,720,170,0.009843354854629324,0.006822211557251066,0.006822211557251066,0.0493956713212861,0.16908030211925507,-3.7401647567749023,nan,698.7984910011292,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_gray+identity_final.pth
42,gray,rotate,40,18,720,170,0.011584172701150992,0.009195778547923104,0.010980920152059748,0.07183057359523243,0.23800823092460632,-3.750883102416992,nan,704.7079908847809,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_gray+rotate_final.pth
42,gray,vflip,40,18,720,170,0.012735625829542237,0.009913740300146485,0.009913740300146485,0.0692771344135205,0.20516866445541382,-3.75009822845459,nan,672.4133138656616,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_gray+vflip_final.pth
42,hflip,hflip,40,18,720,170,0.005533068321451234,0.0043308434243251055,0.004379784243136169,0.03279656347715192,0.13434317708015442,-3.750962257385254,nan,664.6100339889526,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_hflip+hflip_final.pth
42,hflip,identity,40,18,720,170,0.005656370751033858,0.003427442830851439,0.003988320264974899,0.03385738066087166,0.13229215145111084,-3.7604475021362305,nan,683.8889675140381,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_hflip+identity_final.pth
42,hflip,rotate,40,18,720,170,0.006653508752681762,0.0044283800927923025,0.0056560881302002205,0.039729202166199684,0.16755300760269165,-3.761420249938965,nan,689.7421219348907,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_hflip+rotate_final.pth
42,hflip,vflip,40,18,720,170,0.007216172126467871,0.004478709300448986,0.00588963896826596,0.03760997154232529,0.16609007120132446,-3.7618417739868164,nan,684.148975610733,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_hflip+vflip_final.pth
42,identity,identity,40,18,720,170,0.006929974574975885,0.004814523332416347,0.004814523332416347,0.03551455173227522,0.1309501826763153,-3.750119209289551,nan,698.9683878421783,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_identity+identity_final.pth
42,identity,rotate,40,18,720,170,0.0063055272404756,0.004063922719343131,0.00451710391938077,0.03266765001333422,0.13027501106262207,-3.7536487579345703,nan,681.4808037281036,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_identity+rotate_final.pth
42,identity,vflip,40,18,720,170,0.005504529710215466,0.0036759465137417673,0.0036759465137417673,0.031128908714486495,0.13309186697006226,-3.7499303817749023,nan,681.6596729755402,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_identity+vflip_final.pth
42,rotate,rotate,40,18,720,170,0.0064892152213941855,0.004099969457299243,0.0049844240759770375,0.033638297166261405,0.1360032856464386,-3.7586021423339844,nan,702.0319626331329,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_rotate+rotate_final.pth
42,rotate,vflip,40,18,720,170,0.006726092473070958,0.004647087102259903,0.00623019908885359,0.04028614786350065,0.1610790193080902,-3.760258674621582,nan,773.5618550777435,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_rotate+vflip_final.pth
42,vflip,vflip,40,18,720,170,0.0061415992868898706,0.00391155880384848,0.00391155880384848,0.03242739139952593,0.13445526361465454,-3.760636329650879,nan,720.2566637992859,pairwise_results/checkpoints/simclr_UltraLightFCN_seed42_vflip+vflip_final.pth
